有一点儿	有一点儿 abit
仔细地	仔细地 carefully
粗心地	粗心地 carelessly
客车厢	客车厢 carriage
胡萝卜	胡萝卜 carrot
小推车	小推车 cart
动画片	动画片 cartoon
收款台	收款台 cashdesk
蓖麻油	蓖麻油 castoroil
使产生	使产生 cause
使发生	使发生 cause
天花板	天花板 ceiling
庆祝会	庆祝会 celebration
中心的	中心的 central
中央的	中央的 central
一定的	一定的 certain
确定的	确定的 certain
无疑的	无疑的 certain
无疑地	无疑地 certainly
优胜者	优胜者 champion
锦标赛	锦标赛 championship
可能性	可能性 chance possibility
把变成	把变成 changeinto turinto
航海图	航海图 chart
廉价地	廉价地 cheaply
骗欺诈	骗欺诈 cheat
化学物	化学物 chemical
化学家	化学家 chemist
药剂师	药剂师 chemist
主要的	主要的 chief main major
首要的	首要的 chief prime
中国的	中国的 Chinese
中国人	中国人 Chinese
太极拳	太极拳 Chineseboxing
巧克力	巧克力 chocolate
圣诞节	圣诞节 Christmas
雪茄烟	雪茄烟 cigar
电影院	电影院 cinema
盘旋圆	盘旋圆 circle
公民权	公民权 citizenship
国内的	国内的 civil
干净的	干净的 clean
清洁的	清洁的 clean
弄干净	弄干净 clean
擦干净	擦干净 clean
清楚的	清楚的 clear sharp
清晰的	清晰的 clear
明白地	明白地 clearly
清晰地	清晰地 clearly
书记员	书记员 clerk
办事员	办事员 clerk
机灵的	机灵的 clever
咔嗒声	咔嗒声 click
小房间	小房间 closet
多云的	多云的 cloudy
阴天的	阴天的 cloudy
俱乐部	俱乐部 club
笨拙的	笨拙的 clumsy
海岸线	海岸线 coastline
可可树	可可树 cocoa
可可粉	可可粉 cocoa
冷血的	冷血的 coldblooded
冷淡地	冷淡地 coldly
无情地	无情地 coldly
收藏品	收藏品 collection
收集物	收集物 collection
柱状物	柱状物 column
使联合	使联合 combine
使结合	使结合 combine
向扑来	向扑来 comeat
想起来	想起来 comeback
从离开	从离开 comeoff
跟我来	跟我来 comeon
走过来	走过来 comeup
舒服的	舒服的 comfortable
轻松的	轻松的 comfortable
普通的	普通的 common ordinary widespread
一般的	一般的 common
共同的	共同的 common
与相比	与相比 comparedto
竞赛者	竞赛者 competitor
比赛者	比赛者 competitor player
完全地	完全地 completely entirely fully well
彻底地	彻底地 completely entirely
作曲家	作曲家 composer musician
压缩的	压缩的 compressed
计算机	计算机 computer
音乐会	音乐会 concert
演奏会	演奏会 concert
推断出	推断出 conclude
售票员	售票员 conductor
列车员	列车员 conductor
连结的	连结的 connected
与相连	与相连 connectwith
把看作	把看作 consider lookoas treat
经常地	经常地 constantly frequently regularly
不断地	不断地 constantly timeandtimeagain
满足的	满足的 content
满意的	满意的 content
连续的	连续的 continuous
持续的	持续的 continuous
对立面	对立面 contrary
便利的	便利的 convenient
方便的	方便的 convenient
炊事员	炊事员 cook
烹调书	烹调书 cookbook
小甜饼	小甜饼 cookie
习字帖	习字帖 copybook
习字本	习字本 copybook
珊瑚虫	珊瑚虫 coral
无线的	无线的 cordless wireless
正确的	正确的 correct proper right
正确地	正确地 correctly
恰当地	恰当地 correctly
v成本	v成本 cost
理事会	理事会 council
委员会	委员会 council
堂兄弟	堂兄弟 cousin
堂姊妹	堂姊妹 cousin
表兄弟	表兄弟 cousin
表姊妹	表姊妹 cousin
覆盖物	覆盖物 covering
合作者	合作者 coworker partner
破裂声	破裂声 crack
噼啪声	噼啪声 crack
哗啦声	哗啦声 crash
不安全	不安全 crazy
膏状物	膏状物 cream
松脆的	松脆的 crisp
鲜嫩的	鲜嫩的 crisp
紧要的	紧要的 critical
批判地	批判地 critically
十字架	十字架 cross
交叉点	交叉点 crossing
残忍的	残忍的 cruel
残酷的	残酷的 cruel
克鲁索	克鲁索 Cruse
立方米	立方米 cubicmetre
文化的	文化的 cultural
器皿柜	器皿柜 cupboard
奇妙的	奇妙的 curious
稀奇的	稀奇的 curious
好奇地	好奇地 curiously
每日的	每日的 daily
日常的	日常的 daily everyday
危险的	危险的 dangerous
致死的	致死的 deadly
致命的	致命的 deadly
昂贵的	昂贵的 dear expensive
高价的	高价的 dear
亲爱的	亲爱的 dear
深爱地	深爱地 dearly
热切地	热切地 dearly eagerly
十二月	十二月 December
下决心	下决心 decide makeupone'smind
深深地	深深地 deeply
深陷的	深陷的 deepset
明确的	明确的 definite
肯定的	肯定的 definite sure
美味的	美味的 delicious tasty
可口的	可口的 delicious tasty
高兴的	高兴的 delighted glad pleased
快乐的	快乐的 delighted enjoyable
设计者	设计者 designer
制图者	制图者 designer
写字台	写字台 desk
坚决的	坚决的 determined
献身于	献身于 devoteoneselfto
致力于	致力于 devoteoneselfto
把献于	把献于 devoteto
把用于	把用于 devoteto
金刚石	金刚石 diamond
日记簿	日记簿 diary
因而死	因而死 diefrom
差异的	差异的 different
不同地	不同地 differently
困难的	困难的 difficult hard
看一看	看一看 dipinto havealook takealook
径直地	径直地 directly
直接地	直接地 directly
指挥者	指挥者 director
地址录	地址录 directory
残废的	残废的 disabled
残疾的	残疾的 disabled
不同意	不同意 disagree disagreement
使失望	使失望 disappoint
失望的	失望的 disappointed
不赞成	不赞成 disapproval
不满意	不满意 disapproval
不舒适	不舒适 discomfort
使泄气	使泄气 discourage
泄气的	泄气的 discouraged
发现者	发现者 discoverer
一道菜	一道菜 dish
不喜爱	不喜爱 dislike
打发走	打发走 dismiss
不服从	不服从 disobey
稀疏的	稀疏的 distant
遥远的	遥远的 distant faraway
行政区	行政区 district region
把分成	把分成 divideinto
洋娃娃	洋娃娃 doll
做作业	做作业 doone'shomework
做功课	做功课 doone'slessons
出入口	出入口 doorway
买东西	买东西 dosomeshopping gofishing shop shopping
洗衣服	洗衣服 dosomewashing
往山脚	往山脚 downhill
在楼下	在楼下 downstairs
到楼下	到楼下 downstairs
做错事	做错事 dowrong
做坏事	做坏事 dowrong
素描图	素描图 drawing
工程图	工程图 drawing
可怕的	可怕的 dreadful frightful horrible terrible
连衣裙	连衣裙 dress
吹风机	吹风机 drier
吹积物	吹积物 drift
喝饮料	喝饮料 drink
驾驶员	驾驶员 driver
孙中山	孙中山 DrSunYatsen
预期的	预期的 due
约定的	约定的 due
阴暗的	阴暗的 dull grey
垃圾堆	垃圾堆 dump
垃圾箱	垃圾箱 dustbin
热切的	热切的 eager earnest
急切的	急切的 eager
渴望地	渴望地 eagerly
认真的	认真的 earnest serious
热心地	热心地 earnestly
认真地	认真地 earnestly
东方的	东方的 east eastern
东部的	东部的 eastern
不费力	不费力 easy
随和的	随和的 easygoing
吃个饱	吃个饱 eatone'sfill
起回声	起回声 echo
经济的	经济的 economic
埃及人	埃及人 Egyptian
埃及的	埃及的 Egyptian
用电的	用电的 electric
电气的	电气的 electrical
使触电	使触电 electrify
使充电	使充电 electrify
电子的	电子的 electronic
其他的	其他的 else
奋力号	奋力号 Endeavour
没完的	没完的 endless
恩格斯	恩格斯 Engels
发动机	发动机 engine motor
工程师	工程师 engineer
英格兰	英格兰 England
英语的	英语的 English
英国人	英国人 Englishman
愉快的	愉快的 enjoyable pleased
有趣的	有趣的 enjoyable interesting
足够的	足够的 enough
充分地	充分地 enough fully well wide wide
整个的	整个的 entire whole
平等的	平等的 equal
均等的	均等的 equal
平等地	平等地 equally
公平地	公平地 equally
小品文	小品文 essay
欧洲人	欧洲人 European
欧洲的	欧洲的 European
埃文斯	埃文斯 Evans
每个的	每个的 every
每天的	每天的 everyday
每件事	每件事 everything
每两年	每两年 everytwoyears
确切的	确切的 exact
准确的	准确的 exact
确切地	确切地 exactly exactly
精确地	精确地 exactly
极好的	极好的 excellent perfect wonderful
优秀的	优秀的 excellent
除之外	除之外 except exceptfor
使激动	使激动 excite
兴奋的	兴奋的 excited heated
激昂的	激昂的 excited
兴奋地	兴奋地 excitedly
激动地	激动地 excitedly
展览会	展览会 exhibition
存在物	存在物 existence
远征队	远征队 expedition
探险队	探险队 expedition
老练的	老练的 experienced
探险者	探险者 explorer
输出品	输出品 export
使暴露	使暴露 expose
特别地	特别地 extra
额外的	额外的 extra
外加的	外加的 extra
非常的	非常的 extraordinary
非凡的	非凡的 extraordinary remarkable
离奇的	离奇的 extraordinary
面对面	面对面 facetoface
不及格	不及格 fail
暗淡的	暗淡的 faint
微弱的	微弱的 faint
公平的	公平的 fair
晴朗的	晴朗的 fair fine
白晰的	白晰的 fair
金色的	金色的 fair golden
公正地	公正地 fairly
正当地	正当地 fairly
虚构的	虚构的 fairy
熟悉的	熟悉的 familiar
著名的	著名的 famous
有名的	有名的 famous
远离的	远离的 faraway
完全不	完全不 farfrom
农场主	农场主 farmer
牧场主	牧场主 farmer
迅速的	迅速的 fast quick rapid swift
不怕的	不怕的 fearless
无畏的	无畏的 fearless
联盟的	联盟的 federal
联邦的	联邦的 federal
把喂给	把喂给 feedto
女性的	女性的 female
妇女的	妇女的 female
发烧的	发烧的 feverish
少数的	少数的 few
很少数	很少数 few
纤维素	纤维素 fibre
猛烈的	猛烈的 fierce
拼命地	拼命地 fiercely
狂热地	狂热地 fiercely
第五十	第五十 fiftieth
把装满	把装满 fillwith
最后的	最后的 final last
美好的	美好的 fine nice
安全梯	安全梯 fireescape
牢固的	牢固的 firm tight
稳固的	稳固的 firm steady
紧紧地	紧紧地 firmly tight
坚定地	坚定地 firmly
牢牢地	牢牢地 firmly
修理好	修理好 fixup
火红的	火红的 flaming
转瞬间	转瞬间 flash
闪光灯	闪光灯 flash
手电筒	手电筒 flashlight
扁平的	扁平的 flat
平坦的	平坦的 flat smooth
平展的	平展的 flat
使满意	使满意 flatter
不飞的	不飞的 flightless
多雾的	多雾的 foggy
模糊的	模糊的 foggy
民间的	民间的 folk
追随者	追随者 follower
喜爱的	喜爱的 fond
爱好的	爱好的 fond
愚蠢地	愚蠢地 foolishly
荒谬地	荒谬地 foolishly
外国的	外国的 foreign
林务员	林务员 forester
以前的	以前的 former
从前的	从前的 former past
十四日	十四日 fortnight
两星期	两星期 fortnight
幸运的	幸运的 fortunate lucky
侥幸的	侥幸的 fortunate lucky
幸运地	幸运地 fortunately
创立者	创立者 founder
奠基者	奠基者 founder
第四日	第四日 fourth
易碎的	易碎的 fragile
法兰西	法兰西 France
弗朗兹	弗朗兹 Franz
自由的	自由的 free
空闲的	空闲的 free spare
免费的	免费的 free
自由地	自由地 freely
随意地	随意地 freely
法国的	法国的 French
法国人	法国人 Frenchman
经常的	经常的 frequent regular
频繁的	频繁的 frequent
屡次地	屡次地 frequently
频繁地	频繁地 frequently
新鲜的	新鲜的 fresh new
星期五	星期五 Friday
友好的	友好的 friendly kind
受惊的	受惊的 frightened
害怕的	害怕的 frightened
前面的	前面的 front
完全的	完全的 full total
专职的	专职的 fulltime
较远的	较远的 further
伽利略	伽利略 Galileo
汽车间	汽车间 garage
汽车库	汽车库 garage
园艺学	园艺学 gardening
天然气	天然气 gas naturalgas
大体的	大体的 general
笼统的	笼统的 general
一般地	一般地 generally
柔和的	柔和的 gentle soft
温柔的	温柔的 gentle
轻轻的	轻轻的 gentle
温柔地	温柔地 gently
柔和地	柔和地 gently
轻轻地	轻轻地 gently lightly softly
地理学	地理学 geography
地理书	地理书 geography
地质学	地质学 geology
德国的	德国的 German
德国人	德国人 German
盖斯勒	盖斯勒 Gessler
与联系	与联系 getintouchwith
与接触	与接触 getintouchwith
从下去	从下去 getoff
通电话	通电话 getthrough
巨大的	巨大的 giant huge large vast
女朋友	女朋友 girlfriend
提建议	提建议 giveadvice
做报告	做报告 giveatalk haveatalk
做讲演	做讲演 giveatalk
给上课	给上课 givelessonsto
乐意的	乐意的 glad
瞪眼的	瞪眼的 glaring
玻璃杯	玻璃杯 glass
球状物	球状物 globe
地球仪	地球仪 globe
不利于	不利于 goagainst
去钓鱼	去钓鱼 gofishing shopping
从事于	从事于 goinfor
黄色的	黄色的 golden yellow
金门桥	金门桥 GoldenGateBridge
早上好	早上好 Goodmorning
继续走	继续走 goon walkon
继续做	继续做 goondoing
过一遍	过一遍 goover
上大学	上大学 gotocollege
统治者	统治者 governor ruler
格雷斯	格雷斯 Grace
逐渐地	逐渐地 gradually littlebylittle
语法的	语法的 grammatical
庄严的	庄严的 grand
伟大的	伟大的 grand great
隔一辈	隔一辈 grand
外孙女	外孙女 granddaughter
外祖父	外祖父 grandfather
外祖母	外祖母 grandmother
老奶奶	老奶奶 granny
感激的	感激的 grateful thankful
灰色的	灰色的 gray grey grey
灰白的	灰白的 gray grey pale
大堡礁	大堡礁 GreatBarrierReef
贪婪的	贪婪的 greedy
希腊人	希腊人 Greek
希腊语	希腊语 Greek
绿色的	绿色的 green
运动场	运动场 ground
一层楼	一层楼 groundfloor
警卫员	警卫员 guard
导游者	导游者 guide
六弦琴	六弦琴 guitar
体育馆	体育馆 gym
健身房	健身房 gym
半小时	半小时 halfanhour
半冬眠	半冬眠 halfhibernate
汉堡包	汉堡包 hamburger
手提包	手提包 handbag
传下去	传下去 handdown
交进来	交进来 handin
英俊的	英俊的 handsome
漂亮的	漂亮的 handsome pretty
清秀的	清秀的 handsome
艰难的	艰难的 hard
努力地	努力地 hard
剧烈地	剧烈地 hard
猛烈地	猛烈地 hard
几乎不	几乎不 hardly
勤劳的	勤劳的 hardworking
